1, 1, 0.24, 0.00
1, 10, 2.28, 40.00
1, 100, 6.85, 32.00
1, 1000, 8.29, 28.30
1, 10000, 8.37, 27.12
1, 100000, 17.86, 26.97
1, 500000, 17.86, 26.80
1, 1000000, 17.82, 26.91
2, 1, 0.13, 0.00
2, 10, 1.10, 20.00
2, 100, 7.82, 20.00
2, 1000, 16.82, 26.60
2, 10000, 15.80, 26.78
2, 100000, 25.04, 26.78
2, 500000, 35.71, 26.87
2, 1000000, 35.48, 26.83
4, 1, 0.14, 0.00
4, 10, 1.11, 10.00
4, 100, 10.15, 28.00
4, 1000, 27.49, 27.20
4, 10000, 29.68, 26.84
4, 100000, 38.05, 26.89
4, 500000, 69.54, 26.86
4, 1000000, 66.09, 26.87
8, 1, 0.20, 0.00
8, 10, 1.13, 20.00
8, 100, 10.88, 28.00
8, 1000, 35.96, 27.50
8, 10000, 60.69, 27.28
8, 100000, 66.48, 26.92
8, 500000, 105.37, 26.97
8, 1000000, 120.47, 26.90
12, 1, 0.13, 100.00
12, 10, 1.26, 40.00
12, 100, 8.23, 20.00
12, 1000, 55.73, 25.30
12, 10000, 86.10, 26.62
12, 100000, 92.86, 26.86
12, 500000, 138.04, 26.94
12, 1000000, 179.04, 26.85
16, 1, 0.15, 0.00
16, 10, 1.02, 30.00
16, 100, 7.50, 34.00
16, 1000, 49.37, 29.10
16, 10000, 112.16, 27.71
16, 100000, 115.41, 26.86
16, 500000, 157.14, 26.90
16, 1000000, 163.25, 26.82
20, 1, 0.11, 0.00
20, 10, 0.95, 40.00
20, 100, 7.62, 22.00
20, 1000, 45.23, 29.10
20, 10000, 93.20, 27.06
20, 100000, 104.59, 26.78
20, 500000, 149.40, 26.89
20, 1000000, 191.93, 26.91
24, 1, 0.09, 0.00
24, 10, 0.81, 40.00
24, 100, 7.95, 40.00
24, 1000, 48.25, 28.00
24, 10000, 110.39, 26.43
24, 100000, 125.27, 26.82
24, 500000, 156.39, 26.91
24, 1000000, 210.04, 26.90
32, 1, 0.08, 0.00
32, 10, 0.00, 40.00
32, 100, 8.45, 27.00
32, 1000, 49.95, 30.80
32, 10000, 2.91, 27.38
32, 100000, 176.73, 26.99
32, 500000, 200.13, 26.83
32, 1000000, 252.85, 26.86
