      1024 ,        8 ,     9.9751 ,  75.00
      1024 ,       32 ,     9.8462 ,  75.59
      1024 ,       64 ,     9.4984 ,  73.34
      1024 ,      128 ,     9.8371 ,  74.41
      4096 ,        8 ,    39.4818 ,  74.80
      4096 ,       32 ,    46.5624 ,  74.78
      4096 ,       64 ,    36.3740 ,  75.05
      4096 ,      128 ,    26.9360 ,  74.54
     16384 ,        8 ,   160.6023 ,  74.58
     16384 ,       32 ,   170.1562 ,  75.31
     16384 ,       64 ,   182.5312 ,  74.72
     16384 ,      128 ,   136.3879 ,  74.54
     65536 ,        8 ,   275.5651 ,  74.64
     65536 ,       32 ,   507.5588 ,  74.60
     65536 ,       64 ,   653.4780 ,  74.71
     65536 ,      128 ,   631.5140 ,  74.69
    262144 ,        8 ,   522.9492 ,  74.71
    262144 ,       32 ,  1126.9775 ,  74.71
    262144 ,       64 ,  1475.2386 ,  74.65
    262144 ,      128 ,  1816.8108 ,  74.66
   1048576 ,        8 ,   607.0509 ,  74.65
   1048576 ,       32 ,  1906.0027 ,  74.65
   1048576 ,       64 ,  2623.7488 ,  74.72
   1048576 ,      128 ,  3132.9954 ,  74.76
   2097152 ,        8 ,   637.9814 ,  74.70
   2097152 ,       32 ,  2086.0043 ,  74.72
   2097152 ,       64 ,  3279.0954 ,  74.72
   2097152 ,      128 ,  3851.8866 ,  74.74
