    1024 ,      1 ,       0.36
    1024 ,      4 ,       0.37
    1024 ,     16 ,       0.58
    1024 ,     64 ,       0.41
    1024 ,    256 ,       0.50
    4096 ,      1 ,       3.13
    4096 ,      4 ,       4.53
    4096 ,     16 ,       4.48
    4096 ,     64 ,       3.28
    4096 ,    256 ,       2.37
   16384 ,      1 ,      23.35
   16384 ,      4 ,      25.57
   16384 ,     16 ,      35.78
   16384 ,     64 ,      26.02
   16384 ,    256 ,      30.85
   65536 ,      1 ,      72.17
   65536 ,      4 ,     160.00
   65536 ,     16 ,     214.87
   65536 ,     64 ,     244.93
   65536 ,    256 ,     218.76
  262144 ,      1 ,     155.24
  262144 ,      4 ,     364.60
  262144 ,     16 ,     390.27
  262144 ,     64 ,     440.73
  262144 ,    256 ,     463.53
 1048576 ,      1 ,     391.92
 1048576 ,      4 ,    1197.93
 1048576 ,     16 ,    2922.76
 1048576 ,     64 ,    3181.61
 1048576 ,    256 ,    3423.98
